date,store_id,store_name,lat,lon,total_sales,ice_sales,hot_sales,transactions
2025-08-05,gangnam,강남점,37.4979,127.0276,941474,513668,427806,201
2025-08-06,gangnam,강남점,37.4979,127.0276,728182,297681,430501,157
2025-08-07,gangnam,강남점,37.4979,127.0276,887829,481558,406271,190
2025-08-08,gangnam,강남점,37.4979,127.0276,745278,311824,433454,160
2025-08-09,gangnam,강남점,37.4979,127.0276,838889,326831,512058,176
2025-08-10,gangnam,강남점,37.4979,127.0276,867428,473269,394159,186
2025-08-11,gangnam,강남점,37.4979,127.0276,728187,291275,436912,159
2025-08-12,gangnam,강남점,37.4979,127.0276,901531,496924,404607,195
2025-08-13,gangnam,강남점,37.4979,127.0276,626864,250244,376620,135
2025-08-14,gangnam,강남점,37.4979,127.0276,673142,269795,403347,141
2025-08-15,gangnam,강남점,37.4979,127.0276,793433,429089,364344,170
2025-08-16,gangnam,강남점,37.4979,127.0276,930196,509747,420449,198
2025-08-17,gangnam,강남점,37.4979,127.0276,866496,472067,394429,184
2025-08-18,gangnam,강남점,37.4979,127.0276,863855,473393,390462,183
2025-08-19,gangnam,강남점,37.4979,127.0276,776987,423924,353063,166
2025-08-20,gangnam,강남점,37.4979,127.0276,706882,387937,318945,151
2025-08-21,gangnam,강남점,37.4979,127.0276,901172,501052,400120,189
2025-08-22,gangnam,강남점,37.4979,127.0276,768884,428115,340769,161
2025-08-23,gangnam,강남점,37.4979,127.0276,953662,538628,415034,204
2025-08-24,gangnam,강남점,37.4979,127.0276,1036488,599505,436983,219
2025-08-25,gangnam,강남점,37.4979,127.0276,692453,389990,302463,149
2025-08-26,gangnam,강남점,37.4979,127.0276,700443,291945,408498,153
2025-08-27,gangnam,강남점,37.4979,127.0276,766200,416813,349387,165
2025-08-28,gangnam,강남점,37.4979,127.0276,668391,362001,306390,146
2025-08-29,gangnam,강남점,37.4979,127.0276,723966,396733,327233,154
2025-08-30,gangnam,강남점,37.4979,127.0276,857592,470646,386946,186
2025-08-31,gangnam,강남점,37.4979,127.0276,731484,395587,335897,157
2025-09-01,gangnam,강남점,37.4979,127.0276,618264,251757,366507,136
2025-09-02,gangnam,강남점,37.4979,127.0276,834158,342338,491820,181
2025-09-03,gangnam,강남점,37.4979,127.0276,820999,446623,374376,171
2025-09-04,gangnam,강남점,37.4979,127.0276,676172,276419,399753,144
2025-09-05,gangnam,강남점,37.4979,127.0276,733354,403638,329716,159
2025-09-06,gangnam,강남점,37.4979,127.0276,729960,394762,335198,156
2025-09-07,gangnam,강남점,37.4979,127.0276,924208,371901,552307,199
2025-09-08,gangnam,강남점,37.4979,127.0276,815004,320134,494870,173
2025-09-09,gangnam,강남점,37.4979,127.0276,842747,325637,517110,182
2025-09-10,gangnam,강남점,37.4979,127.0276,838155,345320,492835,180
2025-09-11,gangnam,강남점,37.4979,127.0276,857278,357999,499279,180
2025-09-12,gangnam,강남점,37.4979,127.0276,781402,302559,478843,167
2025-09-13,gangnam,강남점,37.4979,127.0276,890182,346815,543367,188
2025-09-14,gangnam,강남점,37.4979,127.0276,901508,362767,538741,194
2025-09-15,gangnam,강남점,37.4979,127.0276,948173,388372,559801,199
2025-09-16,gangnam,강남점,37.4979,127.0276,723612,288866,434746,152
2025-09-17,gangnam,강남점,37.4979,127.0276,580301,218657,361644,124
2025-09-18,gangnam,강남점,37.4979,127.0276,809506,307612,501894,174
2025-09-19,gangnam,강남점,37.4979,127.0276,683367,236172,447195,149
2025-09-20,gangnam,강남점,37.4979,127.0276,693942,250374,443568,148
2025-09-21,gangnam,강남점,37.4979,127.0276,1038477,395452,643025,219
2025-09-22,gangnam,강남점,37.4979,127.0276,965351,360655,604696,206
2025-09-23,gangnam,강남점,37.4979,127.0276,807206,303509,503697,175
2025-09-24,gangnam,강남점,37.4979,127.0276,609274,228600,380674,135
2025-09-25,gangnam,강남점,37.4979,127.0276,841341,322402,518939,177
2025-09-26,gangnam,강남점,37.4979,127.0276,773526,293940,479586,166
2025-09-27,gangnam,강남점,37.4979,127.0276,956442,377221,579221,206
2025-09-28,gangnam,강남점,37.4979,127.0276,732745,264374,468371,155
2025-09-29,gangnam,강남점,37.4979,127.0276,880077,320348,559729,189
2025-09-30,gangnam,강남점,37.4979,127.0276,847206,305672,541534,180
2025-10-01,gangnam,강남점,37.4979,127.0276,887489,328726,558763,192
2025-10-02,gangnam,강남점,37.4979,127.0276,933774,354834,578940,197
2025-10-03,gangnam,강남점,37.4979,127.0276,945679,347253,598426,198
2025-10-04,gangnam,강남점,37.4979,127.0276,1120328,410488,709840,237
2025-10-05,gangnam,강남점,37.4979,127.0276,918459,332115,586344,194
2025-10-06,gangnam,강남점,37.4979,127.0276,605164,205756,399408,128
2025-10-07,gangnam,강남점,37.4979,127.0276,747399,260095,487304,159
2025-10-08,gangnam,강남점,37.4979,127.0276,923359,359002,564357,192
2025-10-09,gangnam,강남점,37.4979,127.0276,785692,280335,505357,166
2025-10-10,gangnam,강남점,37.4979,127.0276,666798,219243,447555,145
2025-10-11,gangnam,강남점,37.4979,127.0276,807530,304277,503253,174
2025-10-12,gangnam,강남점,37.4979,127.0276,1100743,389223,711520,234
2025-10-13,gangnam,강남점,37.4979,127.0276,694850,224576,470274,152
2025-10-14,gangnam,강남점,37.4979,127.0276,806680,272335,534345,170
2025-10-15,gangnam,강남점,37.4979,127.0276,754278,281195,473083,158
2025-10-16,gangnam,강남점,37.4979,127.0276,646529,238957,407572,142
2025-10-17,gangnam,강남점,37.4979,127.0276,763552,280376,483176,167
2025-10-18,gangnam,강남점,37.4979,127.0276,744309,239370,504939,155
2025-10-19,gangnam,강남점,37.4979,127.0276,1075444,351885,723559,226
2025-10-20,gangnam,강남점,37.4979,127.0276,877758,263327,614431,188
2025-10-21,gangnam,강남점,37.4979,127.0276,744407,223322,521085,158
2025-10-22,gangnam,강남점,37.4979,127.0276,903753,291370,612383,189
2025-10-23,gangnam,강남점,37.4979,127.0276,742333,244079,498254,162
2025-10-24,gangnam,강남점,37.4979,127.0276,906625,303175,603450,189
2025-10-25,gangnam,강남점,37.4979,127.0276,1007220,316670,690550,217
2025-10-26,gangnam,강남점,37.4979,127.0276,1053027,315908,737119,224
2025-10-27,gangnam,강남점,37.4979,127.0276,871592,261478,610114,182
2025-10-28,gangnam,강남점,37.4979,127.0276,795635,238691,556944,166
2025-10-29,gangnam,강남점,37.4979,127.0276,921516,279404,642112,199
2025-10-30,gangnam,강남점,37.4979,127.0276,823031,255469,567562,178
2025-10-31,gangnam,강남점,37.4979,127.0276,920966,299867,621099,197
2025-11-01,gangnam,강남점,37.4979,127.0276,1084913,328078,756835,227
2025-11-02,gangnam,강남점,37.4979,127.0276,1012510,303753,708757,219
2025-11-03,gangnam,강남점,37.4979,127.0276,814924,244477,570447,175
2025-11-04,gangnam,강남점,37.4979,127.0276,907492,272248,635244,195
2025-11-05,gangnam,강남점,37.4979,127.0276,831138,255326,575812,177
2025-11-06,gangnam,강남점,37.4979,127.0276,794205,249698,544507,171
2025-11-07,gangnam,강남점,37.4979,127.0276,751454,242870,508584,159
2025-11-08,gangnam,강남점,37.4979,127.0276,946925,285593,661332,201
2025-11-09,gangnam,강남점,37.4979,127.0276,869078,265590,603488,183
2025-11-10,gangnam,강남점,37.4979,127.0276,854331,256299,598032,181
2025-11-11,gangnam,강남점,37.4979,127.0276,861310,258393,602917,185
2025-11-12,gangnam,강남점,37.4979,127.0276,880957,264287,616670,186
2025-11-13,gangnam,강남점,37.4979,127.0276,841477,257829,583648,180
2025-11-14,gangnam,강남점,37.4979,127.0276,841955,252587,589368,183
2025-11-15,gangnam,강남점,37.4979,127.0276,1049862,314959,734903,219
2025-11-16,gangnam,강남점,37.4979,127.0276,1012517,312665,699852,213
2025-11-17,gangnam,강남점,37.4979,127.0276,834213,250264,583949,177
2025-11-18,gangnam,강남점,37.4979,127.0276,814465,244340,570125,172
2025-11-19,gangnam,강남점,37.4979,127.0276,973190,291957,681233,209
2025-11-20,gangnam,강남점,37.4979,127.0276,877574,263272,614302,188
2025-11-21,gangnam,강남점,37.4979,127.0276,877002,263101,613901,187
2025-11-22,gangnam,강남점,37.4979,127.0276,995806,298742,697064,210
2025-11-23,gangnam,강남점,37.4979,127.0276,1117843,335353,782490,234
2025-11-24,gangnam,강남점,37.4979,127.0276,974659,298636,676023,206
2025-11-25,gangnam,강남점,37.4979,127.0276,698010,209403,488607,148
2025-11-26,gangnam,강남점,37.4979,127.0276,976088,292826,683262,205
2025-11-27,gangnam,강남점,37.4979,127.0276,637912,191374,446538,140
2025-11-28,gangnam,강남점,37.4979,127.0276,879336,263801,615535,184
2025-11-29,gangnam,강남점,37.4979,127.0276,961531,288459,673072,207
2025-11-30,gangnam,강남점,37.4979,127.0276,1040054,312016,728038,221
2025-12-01,gangnam,강남점,37.4979,127.0276,864919,259476,605443,181
2025-12-02,gangnam,강남점,37.4979,127.0276,851846,255554,596292,181
2025-12-03,gangnam,강남점,37.4979,127.0276,924298,277289,647009,195
2025-12-04,gangnam,강남점,37.4979,127.0276,863725,259118,604607,187
2025-12-05,gangnam,강남점,37.4979,127.0276,859900,257970,601930,186
2025-12-06,gangnam,강남점,37.4979,127.0276,1069340,320802,748538,225
2025-12-07,gangnam,강남점,37.4979,127.0276,820026,246008,574018,173
2025-12-08,gangnam,강남점,37.4979,127.0276,722558,216767,505791,153
2025-12-09,gangnam,강남점,37.4979,127.0276,816235,244871,571364,174
2025-12-10,gangnam,강남점,37.4979,127.0276,841651,252495,589156,180
2025-12-11,gangnam,강남점,37.4979,127.0276,642817,192845,449972,139
2025-12-12,gangnam,강남점,37.4979,127.0276,778653,233596,545057,163
2025-12-13,gangnam,강남점,37.4979,127.0276,688534,206560,481974,145
2025-12-14,gangnam,강남점,37.4979,127.0276,1062215,318665,743550,223
2025-12-15,gangnam,강남점,37.4979,127.0276,935770,280731,655039,199
2025-12-16,gangnam,강남점,37.4979,127.0276,764964,229489,535475,161
2025-12-17,gangnam,강남점,37.4979,127.0276,954659,286398,668261,202
2025-12-18,gangnam,강남점,37.4979,127.0276,762888,228866,534022,163
2025-12-19,gangnam,강남점,37.4979,127.0276,900580,270174,630406,189
2025-12-20,gangnam,강남점,37.4979,127.0276,924295,277289,647006,199
2025-12-21,gangnam,강남점,37.4979,127.0276,1105990,331797,774193,232
2025-12-22,gangnam,강남점,37.4979,127.0276,894419,268326,626093,188
2025-12-23,gangnam,강남점,37.4979,127.0276,718353,215506,502847,157
2025-12-24,gangnam,강남점,37.4979,127.0276,899860,269958,629902,192
2025-12-25,gangnam,강남점,37.4979,127.0276,824806,247442,577364,179
2025-12-26,gangnam,강남점,37.4979,127.0276,959095,287729,671366,206
2025-12-27,gangnam,강남점,37.4979,127.0276,876743,263023,613720,188
2025-12-28,gangnam,강남점,37.4979,127.0276,890197,267059,623138,189
2025-12-29,gangnam,강남점,37.4979,127.0276,866741,260022,606719,181
2025-12-30,gangnam,강남점,37.4979,127.0276,924981,277494,647487,194
2025-12-31,gangnam,강남점,37.4979,127.0276,808271,242481,565790,176
2026-01-01,gangnam,강남점,37.4979,127.0276,840581,252174,588407,179
2026-01-02,gangnam,강남점,37.4979,127.0276,875571,262671,612900,186
2026-01-03,gangnam,강남점,37.4979,127.0276,1011679,303504,708175,211
2026-01-04,gangnam,강남점,37.4979,127.0276,901488,270446,631042,190
2026-01-05,gangnam,강남점,37.4979,127.0276,758406,227522,530884,164
2026-01-06,gangnam,강남점,37.4979,127.0276,729247,218774,510473,157
2026-01-07,gangnam,강남점,37.4979,127.0276,898918,269675,629243,188
2026-01-08,gangnam,강남점,37.4979,127.0276,869679,260904,608775,189
2026-01-09,gangnam,강남점,37.4979,127.0276,941086,282326,658760,198
2026-01-10,gangnam,강남점,37.4979,127.0276,686198,205859,480339,150
2026-01-11,gangnam,강남점,37.4979,127.0276,887044,266113,620931,189
2026-01-12,gangnam,강남점,37.4979,127.0276,773028,231908,541120,165
2026-01-13,gangnam,강남점,37.4979,127.0276,800849,240255,560594,171
2026-01-14,gangnam,강남점,37.4979,127.0276,941851,282555,659296,202
2026-01-15,gangnam,강남점,37.4979,127.0276,957243,287173,670070,205
2026-01-16,gangnam,강남점,37.4979,127.0276,911015,273305,637710,194
2026-01-17,gangnam,강남점,37.4979,127.0276,937449,281235,656214,199
2026-01-18,gangnam,강남점,37.4979,127.0276,854021,256206,597815,185
2026-01-19,gangnam,강남점,37.4979,127.0276,695817,208745,487072,153
2026-01-20,gangnam,강남점,37.4979,127.0276,973371,292011,681360,210
2026-01-21,gangnam,강남점,37.4979,127.0276,956417,286925,669492,203
2026-01-22,gangnam,강남점,37.4979,127.0276,946520,283956,662564,201
2026-01-23,gangnam,강남점,37.4979,127.0276,878585,263576,615009,184
2026-01-24,gangnam,강남점,37.4979,127.0276,1093591,328077,765514,230
2026-01-25,gangnam,강남점,37.4979,127.0276,990253,297076,693177,208
2026-01-26,gangnam,강남점,37.4979,127.0276,768338,230501,537837,166
2026-01-27,gangnam,강남점,37.4979,127.0276,743105,222932,520173,160
2026-01-28,gangnam,강남점,37.4979,127.0276,924767,277430,647337,195
2026-01-29,gangnam,강남점,37.4979,127.0276,950466,285140,665326,199
2026-01-30,gangnam,강남점,37.4979,127.0276,849153,254746,594407,181
2026-01-31,gangnam,강남점,37.4979,127.0276,871767,261530,610237,185
2026-02-01,gangnam,강남점,37.4979,127.0276,887281,266184,621097,191
2026-02-02,gangnam,강남점,37.4979,127.0276,914031,274209,639822,196
2026-02-03,gangnam,강남점,37.4979,127.0276,837875,251363,586512,180
2026-02-04,gangnam,강남점,37.4979,127.0276,901110,270333,630777,195
2026-02-05,gangnam,강남점,37.4979,127.0276,892482,267745,624737,192
2026-02-06,gangnam,강남점,37.4979,127.0276,766817,230045,536772,165
2026-02-07,gangnam,강남점,37.4979,127.0276,994785,298436,696349,208
2026-02-08,gangnam,강남점,37.4979,127.0276,876381,262914,613467,189
2026-02-09,gangnam,강남점,37.4979,127.0276,898936,269681,629255,188
2026-02-10,gangnam,강남점,37.4979,127.0276,827298,248189,579109,180
2026-02-11,gangnam,강남점,37.4979,127.0276,957168,287150,670018,200
2026-02-12,gangnam,강남점,37.4979,127.0276,775177,232553,542624,169
2026-02-13,gangnam,강남점,37.4979,127.0276,950267,285080,665187,200
2026-02-14,gangnam,강남점,37.4979,127.0276,1045215,313565,731650,220
2026-02-15,gangnam,강남점,37.4979,127.0276,986417,295925,690492,212
2026-02-16,gangnam,강남점,37.4979,127.0276,868465,260540,607925,184
2026-02-17,gangnam,강남점,37.4979,127.0276,932118,279635,652483,199
2026-02-18,gangnam,강남점,37.4979,127.0276,825689,247707,577982,176
2026-02-19,gangnam,강남점,37.4979,127.0276,877931,263379,614552,184
2026-02-20,gangnam,강남점,37.4979,127.0276,831276,249383,581893,173
2026-02-21,gangnam,강남점,37.4979,127.0276,1052053,317299,734754,220
2026-02-22,gangnam,강남점,37.4979,127.0276,1068661,320598,748063,227
2026-02-23,gangnam,강남점,37.4979,127.0276,731919,219576,512343,158
2026-02-24,gangnam,강남점,37.4979,127.0276,748491,224547,523944,159
2026-02-25,gangnam,강남점,37.4979,127.0276,974149,292245,681904,207
2026-02-26,gangnam,강남점,37.4979,127.0276,794587,238376,556211,167
2026-02-27,gangnam,강남점,37.4979,127.0276,819288,245786,573502,172
2026-02-28,gangnam,강남점,37.4979,127.0276,1033926,310178,723748,217
2026-03-01,gangnam,강남점,37.4979,127.0276,913713,274114,639599,193
2026-03-02,gangnam,강남점,37.4979,127.0276,703062,210919,492143,150
2026-03-03,gangnam,강남점,37.4979,127.0276,811532,243460,568072,170
2026-03-04,gangnam,강남점,37.4979,127.0276,805562,241669,563893,173
2026-03-05,gangnam,강남점,37.4979,127.0276,605013,181504,423509,133
2026-03-06,gangnam,강남점,37.4979,127.0276,975063,292519,682544,207
2026-03-07,gangnam,강남점,37.4979,127.0276,1116210,334863,781347,233
2026-03-08,gangnam,강남점,37.4979,127.0276,938270,281481,656789,200
2026-03-09,gangnam,강남점,37.4979,127.0276,813553,244066,569487,177
2026-03-10,gangnam,강남점,37.4979,127.0276,780229,234069,546160,168
2026-03-11,gangnam,강남점,37.4979,127.0276,872383,261715,610668,186
2026-03-12,gangnam,강남점,37.4979,127.0276,917045,275114,641931,197
2026-03-13,gangnam,강남점,37.4979,127.0276,919238,275771,643467,199
2026-03-14,gangnam,강남점,37.4979,127.0276,888784,266635,622149,187
2026-03-15,gangnam,강남점,37.4979,127.0276,872619,261786,610833,189
2026-03-16,gangnam,강남점,37.4979,127.0276,908227,272468,635759,194
2026-03-17,gangnam,강남점,37.4979,127.0276,946187,283856,662331,198
2026-03-18,gangnam,강남점,37.4979,127.0276,607256,182177,425079,132
2026-03-19,gangnam,강남점,37.4979,127.0276,740854,222256,518598,160
2026-03-20,gangnam,강남점,37.4979,127.0276,871069,261321,609748,185
2026-03-21,gangnam,강남점,37.4979,127.0276,1058367,317510,740857,223
2026-03-22,gangnam,강남점,37.4979,127.0276,1064394,325279,739115,227
2026-03-23,gangnam,강남점,37.4979,127.0276,928802,293501,635301,194
2026-03-24,gangnam,강남점,37.4979,127.0276,791156,245575,545581,172
2026-03-25,gangnam,강남점,37.4979,127.0276,954365,305397,648968,205
2026-03-26,gangnam,강남점,37.4979,127.0276,835862,269482,566380,180
2026-03-27,gangnam,강남점,37.4979,127.0276,875481,275952,599529,184
2026-03-28,gangnam,강남점,37.4979,127.0276,1066518,345552,720966,227
2026-03-29,gangnam,강남점,37.4979,127.0276,873110,287777,585333,190
2026-03-30,gangnam,강남점,37.4979,127.0276,676821,223080,453741,149
2026-03-31,gangnam,강남점,37.4979,127.0276,708071,225450,482621,155
2026-04-01,gangnam,강남점,37.4979,127.0276,850034,263171,586863,182
2026-04-02,gangnam,강남점,37.4979,127.0276,740868,227595,513273,161
2026-04-03,gangnam,강남점,37.4979,127.0276,728127,248146,479981,156
2026-04-04,gangnam,강남점,37.4979,127.0276,787591,262740,524851,167
2026-04-05,gangnam,강남점,37.4979,127.0276,1040237,318729,721508,220
2026-04-06,gangnam,강남점,37.4979,127.0276,596747,179024,417723,132
2026-04-07,gangnam,강남점,37.4979,127.0276,878789,263637,615152,183
2026-04-08,gangnam,강남점,37.4979,127.0276,875629,262689,612940,183
2026-04-09,gangnam,강남점,37.4979,127.0276,697802,209341,488461,147
2026-04-10,gangnam,강남점,37.4979,127.0276,705944,211783,494161,148
2026-04-11,gangnam,강남점,37.4979,127.0276,925476,283566,641910,196
2026-04-12,gangnam,강남점,37.4979,127.0276,873228,300390,572838,183
2026-04-13,gangnam,강남점,37.4979,127.0276,813153,302493,510660,177
2026-04-14,gangnam,강남점,37.4979,127.0276,943491,356262,587229,203
2026-04-15,gangnam,강남점,37.4979,127.0276,823213,307552,515661,177
2026-04-16,gangnam,강남점,37.4979,127.0276,789616,300686,488930,165
2026-04-17,gangnam,강남점,37.4979,127.0276,760232,262128,498104,158
2026-04-18,gangnam,강남점,37.4979,127.0276,907352,354956,552396,196
2026-04-19,gangnam,강남점,37.4979,127.0276,955333,394361,560972,200
2026-04-20,gangnam,강남점,37.4979,127.0276,804984,254375,550609,170
2026-04-21,gangnam,강남점,37.4979,127.0276,853970,274637,579333,183
2026-04-22,gangnam,강남점,37.4979,127.0276,900226,300315,599911,191
2026-04-23,gangnam,강남점,37.4979,127.0276,724767,260336,464431,154
2026-04-24,gangnam,강남점,37.4979,127.0276,794324,306927,487397,170
2026-04-25,gangnam,강남점,37.4979,127.0276,1005480,388517,616963,212
2026-04-26,gangnam,강남점,37.4979,127.0276,967694,359982,607712,209
2026-04-27,gangnam,강남점,37.4979,127.0276,677086,241043,436043,145
2026-04-28,gangnam,강남점,37.4979,127.0276,910618,275371,635247,190
2026-04-29,gangnam,강남점,37.4979,127.0276,824396,275678,548718,175
2026-04-30,gangnam,강남점,37.4979,127.0276,942794,330355,612439,201
2026-05-01,gangnam,강남점,37.4979,127.0276,976388,364779,611609,205
2026-05-02,gangnam,강남점,37.4979,127.0276,988666,357502,631164,211
2026-05-03,gangnam,강남점,37.4979,127.0276,793913,238174,555739,172
2026-05-04,gangnam,강남점,37.4979,127.0276,860566,285708,574858,186
2026-05-05,gangnam,강남점,37.4979,127.0276,731136,247416,483720,157
2026-05-06,gangnam,강남점,37.4979,127.0276,852106,311530,540576,182
2026-05-07,gangnam,강남점,37.4979,127.0276,881119,306629,574490,189
2026-05-08,gangnam,강남점,37.4979,127.0276,760666,254975,505691,166
2026-05-09,gangnam,강남점,37.4979,127.0276,1001200,358029,643171,212
2026-05-10,gangnam,강남점,37.4979,127.0276,1016672,381455,635217,216
2026-05-11,gangnam,강남점,37.4979,127.0276,774200,277473,496727,165
2026-05-12,gangnam,강남점,37.4979,127.0276,957507,359257,598250,205
2026-05-13,gangnam,강남점,37.4979,127.0276,939767,354856,584911,201
2026-05-14,gangnam,강남점,37.4979,127.0276,805284,441296,363988,175
2026-05-15,gangnam,강남점,37.4979,127.0276,869156,480469,388687,185
2026-05-16,gangnam,강남점,37.4979,127.0276,1045451,564544,480907,220
2026-05-17,gangnam,강남점,37.4979,127.0276,846740,354276,492464,180
2026-05-18,gangnam,강남점,37.4979,127.0276,803433,336799,466634,168
2026-05-19,gangnam,강남점,37.4979,127.0276,940757,357488,583269,199
2026-05-20,gangnam,강남점,37.4979,127.0276,730573,258331,472242,156
2026-05-21,gangnam,강남점,37.4979,127.0276,636957,214527,422430,140
2026-05-22,gangnam,강남점,37.4979,127.0276,759431,288584,470847,161
2026-05-23,gangnam,강남점,37.4979,127.0276,957174,343051,614123,206
2026-05-24,gangnam,강남점,37.4979,127.0276,959066,376721,582345,208
2026-05-25,gangnam,강남점,37.4979,127.0276,916007,373731,542276,197
2026-05-26,gangnam,강남점,37.4979,127.0276,751723,304297,447426,161
2026-05-27,gangnam,강남점,37.4979,127.0276,717270,271989,445281,156
2026-05-28,gangnam,강남점,37.4979,127.0276,807192,309316,497876,169
2026-05-29,gangnam,강남점,37.4979,127.0276,762317,293340,468977,162
2026-05-30,gangnam,강남점,37.4979,127.0276,943905,372276,571629,199
2026-05-31,gangnam,강남점,37.4979,127.0276,914407,376736,537671,195
2026-06-01,gangnam,강남점,37.4979,127.0276,752697,302283,450414,159
2026-06-02,gangnam,강남점,37.4979,127.0276,755691,412910,342781,160
2026-06-03,gangnam,강남점,37.4979,127.0276,792269,436065,356204,167
2026-06-04,gangnam,강남점,37.4979,127.0276,722940,295538,427402,157
2026-06-05,gangnam,강남점,37.4979,127.0276,728172,276705,451467,154
2026-06-06,gangnam,강남점,37.4979,127.0276,986492,396175,590317,211
2026-06-07,gangnam,강남점,37.4979,127.0276,1009244,384320,624924,211
2026-06-08,gangnam,강남점,37.4979,127.0276,926888,366306,560582,197
2026-06-09,gangnam,강남점,37.4979,127.0276,879419,359506,519913,190
2026-06-10,gangnam,강남점,37.4979,127.0276,777162,302782,474380,164
2026-06-11,gangnam,강남점,37.4979,127.0276,943508,365326,578182,199
2026-06-12,gangnam,강남점,37.4979,127.0276,899213,357527,541686,189
2026-06-13,gangnam,강남점,37.4979,127.0276,1103874,610222,493652,232
2026-06-14,gangnam,강남점,37.4979,127.0276,853699,462363,391336,180
2026-06-15,gangnam,강남점,37.4979,127.0276,815711,458756,356955,171
2026-06-16,gangnam,강남점,37.4979,127.0276,804200,453569,350631,170
2026-06-17,gangnam,강남점,37.4979,127.0276,880103,494970,385133,185
2026-06-18,gangnam,강남점,37.4979,127.0276,913564,509403,404161,195
2026-06-19,gangnam,강남점,37.4979,127.0276,627090,356187,270903,135
2026-06-20,gangnam,강남점,37.4979,127.0276,751930,277312,474618,159
2026-06-21,gangnam,강남점,37.4979,127.0276,958285,375648,582637,201
2026-06-22,gangnam,강남점,37.4979,127.0276,885128,343430,541698,188
2026-06-23,gangnam,강남점,37.4979,127.0276,742884,303691,439193,158
2026-06-24,gangnam,강남점,37.4979,127.0276,747932,296779,451153,157
2026-06-25,gangnam,강남점,37.4979,127.0276,919038,345558,573480,193
2026-06-26,gangnam,강남점,37.4979,127.0276,947630,379810,567820,203
2026-06-27,gangnam,강남점,37.4979,127.0276,1100383,610052,490331,230
2026-06-28,gangnam,강남점,37.4979,127.0276,877801,482439,395362,187
2026-06-29,gangnam,강남점,37.4979,127.0276,924375,515432,408943,193
2026-06-30,gangnam,강남점,37.4979,127.0276,791132,443667,347465,167
2026-07-01,gangnam,강남점,37.4979,127.0276,749634,420994,328640,161
2026-07-02,gangnam,강남점,37.4979,127.0276,695091,283041,412050,151
2026-07-03,gangnam,강남점,37.4979,127.0276,682558,281760,400798,144
2026-07-04,gangnam,강남점,37.4979,127.0276,1119742,612723,507019,238
2026-07-05,gangnam,강남점,37.4979,127.0276,885240,371093,514147,192
2026-07-06,gangnam,강남점,37.4979,127.0276,660787,273302,387485,139
2026-07-07,gangnam,강남점,37.4979,127.0276,633832,264688,369144,137
2026-07-08,gangnam,강남점,37.4979,127.0276,605295,243086,362209,126
2026-07-09,gangnam,강남점,37.4979,127.0276,646449,244616,401833,137
2026-07-10,gangnam,강남점,37.4979,127.0276,731736,296792,434944,157
